chem_name,prod_name
Mandelic Acid,C+ Collagen Brighten & Firm Vitamin C Serum
Phenoxyethanol,C+ Collagen Brighten & Firm Vitamin C Serum
Vitamin C,C+ Collagen Brighten & Firm Vitamin C Serum
Benzyl Alcohol,C.E.O Vitamin C Rich Hydration Cream
Sodium Hyaluronate,C.E.O Vitamin C Rich Hydration Cream
Phenoxyethanol,C-Firma™ Vitamin C Day Serum
Phenoxyethanol,C-Tango™ Vitamin C Eye Cream
Phenoxyethanol,Caffeine Eye Cream
Ascorbyl Glucoside,Dreamskin Skin Perfector
Butylene Glycol,Dreamskin Skin Perfector
Cyclopentasiloxane,Dreamskin Skin Perfector
Dimethicone,Dreamskin Skin Perfector
Glycerin,Dreamskin Skin Perfector
Magnesium,Dreamskin Skin Perfector
Phenoxyethanol,Dreamskin Skin Perfector
Phenoxyethanol,Vinoperfect Brightening Moisturizer with Niacinamide
Butylene Glycol,Cicapair™ Tiger Grass Camo Drops SPF 44
Caprylyl Glycol,Cicapair™ Tiger Grass Camo Drops SPF 44
Cyclopentasiloxane,Cicapair™ Tiger Grass Camo Drops SPF 44
Dimethicone,Cicapair™ Tiger Grass Camo Drops SPF 44
Glycerin,Cicapair™ Tiger Grass Camo Drops SPF 44
Magnesium,Cicapair™ Tiger Grass Camo Drops SPF 44
Panthenol,Cicapair™ Tiger Grass Camo Drops SPF 44
Phenoxyethanol,Cicapair™ Tiger Grass Camo Drops SPF 44
Sodium Ascorbyl Phosphate,Cicapair™ Tiger Grass Camo Drops SPF 44
Butylene Glycol,City Block Purifying Charcoal Clay Mask + Scrub
Caprylyl Glycol,City Block Purifying Charcoal Clay Mask + Scrub
Charcoal,City Block Purifying Charcoal Clay Mask + Scrub
Magnesium,City Block Purifying Charcoal Clay Mask + Scrub
Phenoxyethanol,City Block Purifying Charcoal Clay Mask + Scrub
Butylene Glycol,Clarifying Cleanser
Castor Oil,Clarifying Cleanser
Butylene Glycol,Clarifying Lotion 2
Glycerin,Clarifying Lotion 2
Sodium Hyaluronate,Clarifying Lotion 2
Butylene Glycol,Clarifying Lotion 3
Glycerin,Clarifying Lotion 3
Phenoxyethanol,Clarifying Lotion 3
Sodium Hyaluronate,Clarifying Lotion 3
Phenoxyethanol,Clear Improvement® Active Charcoal Mask to Clear Pores
Butylene Glycol,Clearly Corrective™ Dark Spot Solution
Glycerin,Clearly Corrective™ Dark Spot Solution
Lavender Oil,Clearly Corrective™ Dark Spot Solution
Phenoxyethanol,Clearly Corrective™ Dark Spot Solution
Vitamin C,Clearly Corrective™ Dark Spot Solution
